# PTHR45658_subfamilies_identifiersmulti.txt
# PANTHERDB GATA TRANSCRIPTION FACTOR (PTHR45658) SUBFAMILIES
# Fungal and amoeba GATA zinc finger homologs
# Subfamilies PTHR45658:SF159, SF160, SF86, SF75, SF151, SF170, SF169
# Sequence identifiers only
# Downloaded from PANTHER 18.0 on 2023-10-05 by Edward Wallace
#
GeneID	GeneName	Organism	Definition	SubfamilyName	PTHRAnID	PTHRPersistentID
SGD:S000004744	GAT2	Saccharomyces cerevisiae	Protein GAT2	PROTEIN GAT2-RELATED	PTHR45658:AN12	PTN000007911
CGD:CAL0000198820	orf19.1577	Candida albicans	GATA-type domain-containing protein	PROTEIN GAT2-RELATED	PTHR45658:AN13	PTN000801059
SGD:S000004003	GAT3	Saccharomyces cerevisiae	Protein GAT3	PROTEIN GAT2-RELATED	PTHR45658:AN15	PTN008149437
SGD:S000001452	GAT4	Saccharomyces cerevisiae	Protein GAT4	PROTEIN GAT2-RELATED	PTHR45658:AN16	PTN008149436
EnsemblGenome:NCU00902	wc-2	Neurospora crassa	White collar 2 protein	PROTEIN GAT2-RELATED	PTHR45658:AN18	PTN005226550
EnsemblGenome:SNOG_14196	SNOG_14196	Phaeosphaeria nodorum	Uncharacterized protein	PROTEIN GAT2-RELATED	PTHR45658:AN19	PTN000800975
EnsemblGenome:UMAG_02664	UMAG_02664	Ustilago maydis	Uncharacterized protein	PROTEIN GAT2-RELATED	PTHR45658:AN26	PTN002225687
EnsemblGenome:UMAG_00706	UMAG_00706	Ustilago maydis	GATA-type domain-containing protein	PROTEIN GAT2-RELATED	PTHR45658:AN27	PTN002225695
EnsemblGenome:UMAG_05773	UMAG_05773	Ustilago maydis	GATA-type domain-containing protein	PROTEIN GAT2-RELATED	PTHR45658:AN28	PTN008694234
EnsemblGenome:PGTG_04917	PGTG_04917	Puccinia graminis	Uncharacterized protein	PROTEIN GAT2-RELATED	PTHR45658:AN29	PTN008149443
EnsemblGenome:CNC06330	CNC06330	Cryptococcus neoformans	GATA-type domain-containing protein	GATA-TYPE DOMAIN-CONTAINING PROTEIN	PTHR45658:AN22	PTN000801062
EnsemblGenome:UMAG_04076	UMAG_04076	Ustilago maydis	GATA-type domain-containing protein	GATA-TYPE DOMAIN-CONTAINING PROTEIN	PTHR45658:AN23	PTN002225694
EnsemblGenome:BATDEDRAFT_21487	BATDEDRAFT_21487	Batrachochytrium dendrobatidis	GATA-type domain-containing protein	PROTEIN GAT2-RELATED	PTHR45658:AN30	PTN000801101
dictyBase:DDB_G0277591	gtaH	Dictyostelium discoideum	GATA zinc finger domain-containing protein 8	PROTEIN GAT2-RELATED	PTHR45658:AN43	PTN002225845
dictyBase:DDB_G0282811	gtaK	Dictyostelium discoideum	GATA zinc finger domain-containing protein 11	PROTEIN GAT2-RELATED	PTHR45658:AN44	PTN000100056
