Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms	Protein Accession	Protein Length	Matches
cd00202	Zinc finger DNA binding domain; binds specifically to DNA consensus sequence ...	cdd	domain	IPR000679			a0a0d1dzu2	695	434..471
G3DSA:3.30.50.10	Erythroid Transcription Factor GATA-1, subunit A	cathgene3d	homologous_superfamily	IPR013088			a0a0d1dzu2	695	429..476
IPR000679	Zinc finger, GATA-type	interpro	domain		cd00202,PS50114,PS00344,PF00320,PR00619,SM00401	GO:0043565,GO:0006355	a0a0d1dzu2	695	429..489
IPR013088	Zinc finger, NHR/GATA-type	interpro	homologous_superfamily		G3DSA:3.30.50.10	GO:0008270,GO:0006355	a0a0d1dzu2	695	429..476
PF00320	GATA zinc finger	pfam	domain	IPR000679			a0a0d1dzu2	695	435..467
PS50114	GATA-type zinc finger domain profile	profile	domain	IPR000679			a0a0d1dzu2	695	429..464
PTHR45658	GATA TRANSCRIPTION FACTOR	panther	family				a0a0d1dzu2	695	1..555
PTHR45658:SF18	PROTEIN GAT2-RELATED	panther	family				a0a0d1dzu2	695	1..555
SM00401	"zinc finger binding to DNA consensus sequence [AT]GATA[AG] "	smart	domain	IPR000679			a0a0d1dzu2	695	429..489
SSF57716	Glucocorticoid receptor-like (DNA-binding domain)	ssf	homologous_superfamily				a0a0d1dzu2	695	427..473
